2.97557346624
         1937230 function calls (1935265 primitive calls) in 6.630 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.003    0.003 text.py:3(<module>)
      164    0.000    0.000    0.002    0.000 docstring.py:86(dedent)
       72    0.000    0.000    0.000    0.000 {_sre.compile}
        1    0.000    0.000    0.001    0.001 loader.py:1(<module>)
       66    0.000    0.000    0.001    0.000 copy.py:66(copy)
       14    0.000    0.000    0.001    0.000 cbook.py:164(deprecate)
    18/14    0.000    0.000    0.000    0.000 abc.py:148(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 _validation.py:1(<module>)
      270    0.000    0.000    0.000    0.000 {numpy.lib._compiled_base.add_docstring}
        1    0.000    0.000    0.000    0.000 odepack.py:2(<module>)
        1    0.000    0.000    0.000    0.000 base.py:1(<module>)
      297    0.000    0.000    0.000    0.000 copy_reg.py:46(_reconstructor)
       51    0.000    0.000    0.000    0.000 posixpath.py:127(dirname)
        1    0.000    0.000    0.002    0.002 _internal.py:6(<module>)
       72    0.000    0.000    0.016    0.000 sre_compile.py:481(_code)
        1    0.000    0.000    0.001    0.001 main.py:1(<module>)
        1    0.000    0.000    0.000    0.000 flinalg.py:5(<module>)
        1    0.000    0.000    0.006    0.006 decomp_schur.py:1(<module>)
        1    0.000    0.000    0.000    0.000 fftpack.py:32(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:6(<module>)
        1    0.000    0.000    0.000    0.000 linesearch.py:13(<module>)
        1    0.000    0.000    0.000    0.000 polar.py:1(<module>)
       30    0.000    0.000    0.000    0.000 numerictypes.py:450(_add_array_type)
        1    0.000    0.000    0.003    0.003 polynomial.py:4(<module>)
      252    0.000    0.000    0.000    0.000 pyplot.py:2068(pad)
       13    0.000    0.000    0.000    0.000 path.py:99(__init__)
        1    0.000    0.000    0.000    0.000 geo.py:1(<module>)
        1    0.000    0.000    0.000    0.000 slsqp.py:14(<module>)
        1    0.000    0.000    0.000    0.000 quadpack.py:2(<module>)
        1    0.000    0.000    0.000    0.000 cobyla.py:11(<module>)
      423    0.000    0.000    0.000    0.000 collections.py:323(<genexpr>)
       11    0.000    0.000    0.000    0.000 {eval}
        1    0.000    0.000    0.000    0.000 minpack.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dviread.py:20(<module>)
       31    0.000    0.000    0.000    0.000 _inspect.py:61(getargs)
        1    0.000    0.000    0.003    0.003 quadrature.py:1(<module>)
     1666    0.000    0.000    0.000    0.000 {callable}
        1    0.000    0.000    0.000    0.000 opcode.py:5(<module>)
       11    0.000    0.000    0.000    0.000 {method 'close' of 'file' objects}
        1    0.000    0.000    0.000    0.000 fromnumeric.py:3(<module>)
        7    0.000    0.000    0.001    0.000 nonlin.py:1464(_nonlin_wrapper)
        1    0.000    0.000    0.000    0.000 triangulate.py:1(<module>)
        1    0.000    0.000    0.000    0.000 polyutils.py:33(<module>)
      143    0.000    0.000    0.000    0.000 inspect.py:472(getmodule)
        7    0.000    0.000    0.002    0.000 pyparsing.py:1606(__init__)
        1    0.000    0.000    0.000    0.000 dok.py:1(<module>)
       33    0.000    0.000    0.000    0.000 {posix.stat}
        1    0.000    0.000    0.000    0.000 loader.py:38(TestLoader)
       54    0.000    0.000    0.000    0.000 cbook.py:668(is_string_like)
        1    0.000    0.000    0.000    0.000 nnls.py:1(<module>)
        1    0.000    0.000    0.007    0.007 matfuncs.py:5(<module>)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.001    0.001 format.py:136(<module>)
        1    0.000    0.000    0.000    0.000 zeros.py:1(<module>)
       35    0.000    0.000    0.000    0.000 pyparsing.py:2526(__init__)
        1    0.000    0.000    0.000    0.000 patches.py:1699(BoxStyle)
        1    0.000    0.000    0.000    0.000 anneal.py:4(<module>)
        1    0.000    0.000    0.000    0.000 extras.py:10(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:101(<module>)
        1    0.000    0.000    0.000    0.000 dis.py:1(<module>)
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
       24    0.000    0.000    0.000    0.000 pyparsing.py:1484(__init__)
      190    0.000    0.000    0.000    0.000 {zip}
       44    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
     1198    0.000    0.000    0.000    0.000 {ord}
        1    0.000    0.000    0.000    0.000 streamplot.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _pylab_helpers.py:3(<module>)
        1    0.000    0.000    0.000    0.000 FileDialog.py:9(<module>)
     1167    0.000    0.000    0.000    0.000 sre_compile.py:25(_identityfunction)
        1    0.000    0.000    0.000    0.000 orthogonal.py:79(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:8(<module>)
        1    0.000    0.000    0.000    0.000 _ode.py:103(ode)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
       50    0.000    0.000    0.001    0.000 pyplot.py:2371(<lambda>)
        4    0.000    0.000    0.000    0.000 {posix.open}
        1    0.000    0.000    0.000    0.000 lil.py:2(<module>)
    61/58    0.000    0.000    0.000    0.000 pyparsing.py:108(_ustr)
        2    0.000    0.000    0.001    0.000 utils.py:1(<module>)
        1    0.000    0.000    0.001    0.001 axes.py:331(Axes)
        1    0.000    0.000    0.001    0.001 sysconfig.py:10(<module>)
        1    0.000    0.000    0.000    0.000 quiver.py:15(<module>)
       34    0.000    0.000    0.000    0.000 pyparsing.py:2257(__init__)
        1    0.000    0.000    0.000    0.000 compressed.py:2(<module>)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2434(Entry)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:3(<module>)
      241    0.000    0.000    0.000    0.000 {setattr}
       27    0.000    0.000    0.000    0.000 core.py:822(__init__)
      117    0.000    0.000    0.001    0.000 re.py:134(match)
        1    0.000    0.000    0.002    0.002 __init__.py:52(<module>)
        6    0.000    0.000    0.000    0.000 function_base.py:8(linspace)
        7    0.000    0.000    0.001    0.000 decorator.py:142(make)
      144    0.000    0.000    0.000    0.000 sre_compile.py:475(isstring)
        1    0.000    0.000    0.000    0.000 backend_agg.py:422(FigureCanvasAgg)
       13    0.000    0.000    0.000    0.000 path.py:195(_update_values)
       75    0.000    0.000    0.001    0.000 docstring.py:117(<lambda>)
        1    0.000    0.000    0.000    0.000 umfpack.py:46(updateDictWithVars)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
       65    0.000    0.000    0.001    0.000 pyparsing.py:746(copy)
        1    0.000    0.000    0.000    0.000 triinterpolate.py:3(<module>)
     20/8    0.000    0.000    0.001    0.000 pyparsing.py:2393(parseImpl)
        1    0.000    0.000    0.000    0.000 tnc.py:33(<module>)
       16    0.000    0.000    0.005    0.000 pyparsing.py:1723(__init__)
       97    0.000    0.000    0.000    0.000 sre_parse.py:73(opengroup)
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tzwin.py:2(<module>)
        1    0.000    0.000    0.000    0.000 patches.py:2385(ConnectionStyle)
       18    0.000    0.000    0.000    0.000 functools.py:17(update_wrapper)
        1    0.000    0.000    0.000    0.000 mathtext.py:2050(Parser)
       40    0.000    0.000    0.001    0.000 core.py:109(get_object_signature)
        1    0.000    0.000    0.000    0.000 blocking_input.py:23(<module>)
        1    0.000    0.000    0.000    0.000 collections.py:908(LineCollection)
       36    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:288(_add_types)
        1    0.000    0.000    0.000    0.000 gridspec.py:15(<module>)
        1    0.000    0.000    0.001    0.001 misc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 signals.py:1(<module>)
       72    0.000    0.000    0.032    0.000 re.py:188(compile)
        1    0.000    0.000    0.000    0.000 functions.py:3(<module>)
       72    0.000    0.000    0.000    0.000 sre_parse.py:179(__init__)
        1    0.000    0.000    0.000    0.000 _endian.py:4(<module>)
       11    0.000    0.000    0.014    0.001 artist.py:1304(kwdoc)
       21    0.000    0.000    0.000    0.000 numerictypes.py:219(_evalname)
       30    0.000    0.000    0.000    0.000 posixpath.py:68(join)
       55    0.000    0.000    0.000    0.000 {all}
       17    0.000    0.000    0.000    0.000 pyparsing.py:1770(__str__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:2436(Each)
       50    0.000    0.000    0.000    0.000 pyplot.py:2366(_autogen_docstring)
       51    0.000    0.000    0.000    0.000 docstring.py:81(__call__)
      241    0.000    0.000    0.000    0.000 sre_parse.py:135(__setitem__)
        1    0.000    0.000    0.000    0.000 container.py:1(<module>)
       74    0.000    0.000    0.000    0.000 _inspect.py:152(strseq)
        1    0.000    0.000    0.000    0.000 numerictypes.py:345(_add_integer_aliases)
        6    0.000    0.000    0.000    0.000 inspect.py:844(formatargspec)
       81    0.000    0.000    0.000    0.000 cbook.py:659(iterable)
       12    0.000    0.000    0.000    0.000 ctypeslib.py:303(prep_simple)
       14    0.000    0.000    0.000    0.000 __init__.py:147(_check_size)
        1    0.000    0.000    0.000    0.000 misc.py:3(<module>)
        1    0.000    0.000    0.000    0.000 patches.py:520(Rectangle)
        7    0.000    0.000    0.000    0.000 utils.py:108(__call__)
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
        1    0.000    0.000    0.000    0.000 precision.py:8(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:787(_construct_lookups)
       23    0.000    0.000    0.000    0.000 core.py:5997(getdoc)
